density_sample_id,hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,density_t_m3
CA-C01-008-D0002,CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,32.901204059,33.901204059,1.000000000,2.725742863
CA-C01-008-D0003,CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,57.901204059,58.901204059,1.000000000,2.689692922
CA-C01-008-D0004,CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,82.901204059,83.901204059,1.000000000,2.678602624
CA-C01-008-D0005,CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,107.901204059,108.901204059,1.000000000,2.697124156
CA-C01-008-D0006,CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,132.901204059,133.901204059,1.000000000,2.704558493
CA-C01-008-D0007,CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,157.901204059,158.901204059,1.000000000,2.704859034
CA-C01-008-D0008,CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,182.901204059,183.901204059,1.000000000,2.697767206
CA-C01-008-D0009,CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,207.901204059,208.901204059,1.000000000,2.722911324
CA-C01-008-D0010,CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,232.901204059,233.901204059,1.000000000,2.729817467
CA-C01-008-D0011,CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,257.901204059,258.901204059,1.000000000,2.697984646
CA-C01-008-D0012,CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,282.901204059,283.901204059,1.000000000,2.713762112
CA-C01-008-D0013,CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,307.901204059,308.901204059,1.000000000,2.730098328
CA-C01-009-D0001,CA-C01-009,DS01,cerro_azul,CAMPAIGN_01,19.532466781,20.532466781,1.000000000,2.697680317
CA-C01-009-D0002,CA-C01-009,DS01,cerro_azul,CAMPAIGN_01,44.532466781,45.532466781,1.000000000,2.686412041
CA-C01-009-D0003,CA-C01-009,DS01,cerro_azul,CAMPAIGN_01,69.532466781,70.532466781,1.000000000,2.685151835
CA-C01-009-D0004,CA-C01-009,DS01,cerro_azul,CAMPAIGN_01,94.532466781,95.532466781,1.000000000,2.703134307
CA-C01-009-D0005,CA-C01-009,DS01,cerro_azul,CAMPAIGN_01,119.532466781,120.532466781,1.000000000,2.687262638
CA-C01-009-D0006,CA-C01-009,DS01,cerro_azul,CAMPAIGN_01,144.532466781,145.532466781,1.000000000,2.740103354
CA-C01-009-D0007,CA-C01-009,DS01,cerro_azul,CAMPAIGN_01,169.532466781,170.532466781,1.000000000,2.718126057
CA-C01-010-D0001,CA-C01-010,DS01,cerro_azul,CAMPAIGN_01,3.770334151,4.770334151,1.000000000,2.301001294
CA-C01-010-D0002,CA-C01-010,DS01,cerro_azul,CAMPAIGN_01,28.770334151,29.770334151,1.000000000,2.645691101
CA-C01-010-D0003,CA-C01-010,DS01,cerro_azul,CAMPAIGN_01,53.770334151,54.770334151,1.000000000,2.651973528
CA-C01-010-D0004,CA-C01-010,DS01,cerro_azul,CAMPAIGN_01,78.770334151,79.770334151,1.000000000,2.681107373
CA-C01-010-D0005,CA-C01-010,DS01,cerro_azul,CAMPAIGN_01,103.770334151,104.770334151,1.000000000,2.634892590
CA-C01-010-D0006,CA-C01-010,DS01,cerro_azul,CAMPAIGN_01,128.770334151,129.770334151,1.000000000,2.665511221
CA-C01-010-D0007,CA-C01-010,DS01,cerro_azul,CAMPAIGN_01,153.770334151,154.770334151,1.000000000,2.655835118
CA-C01-010-D0008,CA-C01-010,DS01,cerro_azul,CAMPAIGN_01,178.770334151,179.770334151,1.000000000,2.683539298
CA-C01-011-D0001,CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,7.520034814,8.520034814,1.000000000,2.733492540
CA-C01-011-D0002,CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,32.520034814,33.520034814,1.000000000,2.642961045
CA-C01-011-D0003,CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,57.520034814,58.520034814,1.000000000,2.621071062
CA-C01-011-D0004,CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,82.520034814,83.520034814,1.000000000,2.669499115
CA-C01-011-D0005,CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,107.520034814,108.520034814,1.000000000,2.651778039
CA-C01-011-D0006,CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,132.520034814,133.520034814,1.000000000,2.638261089
CA-C01-011-D0007,CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,157.520034814,158.520034814,1.000000000,2.659638945
CA-C01-011-D0008,CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,182.520034814,183.520034814,1.000000000,2.664920729
CA-C01-011-D0009,CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,207.520034814,208.520034814,1.000000000,2.669048051
CA-C01-012-D0001,CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,16.782850074,17.782850074,1.000000000,2.693400789
CA-C01-012-D0002,CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,41.782850074,42.782850074,1.000000000,2.697339009
CA-C01-012-D0003,CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,66.782850074,67.782850074,1.000000000,2.676739812
CA-C01-012-D0004,CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,91.782850074,92.782850074,1.000000000,2.718768676
CA-C01-012-D0005,CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,116.782850074,117.782850074,1.000000000,2.707840977
CA-C01-012-D0006,CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,141.782850074,142.782850074,1.000000000,2.692719252
CA-C01-012-D0007,CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,166.782850074,167.782850074,1.000000000,2.686072233
CA-C01-012-D0008,CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,191.782850074,192.782850074,1.000000000,2.728360097
CA-C01-012-D0009,CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,216.782850074,217.782850074,1.000000000,2.703672469
CA-C01-012-D0010,CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,241.782850074,242.782850074,1.000000000,2.720803986
CA-C01-012-D0011,CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,266.782850074,267.782850074,1.000000000,2.703072592
CA-C01-012-D0012,CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,291.782850074,292.782850074,1.000000000,2.721557977
CA-C01-012-D0013,CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,316.782850074,317.782850074,1.000000000,2.699148312
CA-C01-013-D0001,CA-C01-013,DS01,cerro_azul,CAMPAIGN_01,17.597124726,18.597124726,1.000000000,2.691389071
CA-C01-013-D0002,CA-C01-013,DS01,cerro_azul,CAMPAIGN_01,42.597124726,43.597124726,1.000000000,2.691368688
CA-C01-013-D0003,CA-C01-013,DS01,cerro_azul,CAMPAIGN_01,67.597124726,68.597124726,1.000000000,2.690433184
CA-C01-013-D0004,CA-C01-013,DS01,cerro_azul,CAMPAIGN_01,92.597124726,93.597124726,1.000000000,2.733617147
CA-C01-013-D0005,CA-C01-013,DS01,cerro_azul,CAMPAIGN_01,117.597124726,118.597124726,1.000000000,2.685396967
CA-C01-013-D0006,CA-C01-013,DS01,cerro_azul,CAMPAIGN_01,142.597124726,143.597124726,1.000000000,2.719123934
CA-C01-013-D0007,CA-C01-013,DS01,cerro_azul,CAMPAIGN_01,167.597124726,168.597124726,1.000000000,2.714385610
CA-C01-014-D0001,CA-C01-014,DS01,cerro_azul,CAMPAIGN_01,22.565825984,23.565825984,1.000000000,2.678475647
CA-C01-014-D0002,CA-C01-014,DS01,cerro_azul,CAMPAIGN_01,47.565825984,48.565825984,1.000000000,2.672848078
CA-C01-014-D0003,CA-C01-014,DS01,cerro_azul,CAMPAIGN_01,72.565825984,73.565825984,1.000000000,2.721725730
CA-C01-014-D0004,CA-C01-014,DS01,cerro_azul,CAMPAIGN_01,97.565825984,98.565825984,1.000000000,2.756496100
CA-C01-014-D0005,CA-C01-014,DS01,cerro_azul,CAMPAIGN_01,122.565825984,123.565825984,1.000000000,2.690316657
CA-C01-014-D0006,CA-C01-014,DS01,cerro_azul,CAMPAIGN_01,147.565825984,148.565825984,1.000000000,2.669475030
CA-C01-014-D0007,CA-C01-014,DS01,cerro_azul,CAMPAIGN_01,172.565825984,173.565825984,1.000000000,2.726952429
CA-C01-015-D0001,CA-C01-015,DS01,cerro_azul,CAMPAIGN_01,8.999005995,9.999005995,1.000000000,2.712324351
CA-C01-015-D0002,CA-C01-015,DS01,cerro_azul,CAMPAIGN_01,33.999005995,34.999005995,1.000000000,2.705511295
CA-C01-015-D0003,CA-C01-015,DS01,cerro_azul,CAMPAIGN_01,58.999005995,59.999005995,1.000000000,2.716200344
CA-C01-015-D0004,CA-C01-015,DS01,cerro_azul,CAMPAIGN_01,83.999005995,84.999005995,1.000000000,2.679365029
CA-C01-015-D0005,CA-C01-015,DS01,cerro_azul,CAMPAIGN_01,108.999005995,109.999005995,1.000000000,2.717432244
CA-C01-015-D0006,CA-C01-015,DS01,cerro_azul,CAMPAIGN_01,133.999005995,134.999005995,1.000000000,2.724112082
CA-C01-015-D0007,CA-C01-015,DS01,cerro_azul,CAMPAIGN_01,158.999005995,159.999005995,1.000000000,2.702356725
CA-C01-015-D0008,CA-C01-015,DS01,cerro_azul,CAMPAIGN_01,183.999005995,184.999005995,1.000000000,2.698261493
CA-C01-016-D0001,CA-C01-016,DS01,cerro_azul,CAMPAIGN_01,19.100094333,20.100094333,1.000000000,2.746288585
CA-C01-016-D0002,CA-C01-016,DS01,cerro_azul,CAMPAIGN_01,44.100094333,45.100094333,1.000000000,2.734238407
CA-C01-016-D0003,CA-C01-016,DS01,cerro_azul,CAMPAIGN_01,69.100094333,70.100094333,1.000000000,2.675228953
CA-C01-016-D0004,CA-C01-016,DS01,cerro_azul,CAMPAIGN_01,94.100094333,95.100094333,1.000000000,2.717806854
CA-C01-016-D0005,CA-C01-016,DS01,cerro_azul,CAMPAIGN_01,119.100094333,120.100094333,1.000000000,2.689303651
CA-C01-016-D0006,CA-C01-016,DS01,cerro_azul,CAMPAIGN_01,144.100094333,145.100094333,1.000000000,2.696773544
CA-C01-016-D0007,CA-C01-016,DS01,cerro_azul,CAMPAIGN_01,169.100094333,170.100094333,1.000000000,2.656781988
CA-C01-016-D0008,CA-C01-016,DS01,cerro_azul,CAMPAIGN_01,194.100094333,195.100094333,1.000000000,2.705185198
CA-C01-016-D0009,CA-C01-016,DS01,cerro_azul,CAMPAIGN_01,219.100094333,220.100094333,1.000000000,2.685446628
CA-C01-016-D0010,CA-C01-016,DS01,cerro_azul,CAMPAIGN_01,244.100094333,245.100094333,1.000000000,2.694118734
CA-C01-016-D0011,CA-C01-016,DS01,cerro_azul,CAMPAIGN_01,269.100094333,270.100094333,1.000000000,2.700030914
CA-C02-001-D0001,CA-C02-001,DS01,cerro_azul,CAMPAIGN_02,15.179899311,16.179899311,1.000000000,2.661530155
CA-C02-001-D0002,CA-C02-001,DS01,cerro_azul,CAMPAIGN_02,40.179899311,41.179899311,1.000000000,2.636469285
CA-C02-001-D0003,CA-C02-001,DS01,cerro_azul,CAMPAIGN_02,65.179899311,66.179899311,1.000000000,2.657654892
CA-C02-001-D0004,CA-C02-001,DS01,cerro_azul,CAMPAIGN_02,90.179899311,91.179899311,1.000000000,2.682592649
CA-C02-001-D0005,CA-C02-001,DS01,cerro_azul,CAMPAIGN_02,115.179899311,116.179899311,1.000000000,2.628889362
CA-C02-001-D0006,CA-C02-001,DS01,cerro_azul,CAMPAIGN_02,140.179899311,141.179899311,1.000000000,2.650800453
CA-C02-001-D0007,CA-C02-001,DS01,cerro_azul,CAMPAIGN_02,165.179899311,166.179899311,1.000000000,2.643144119
CA-C02-002-D0001,CA-C02-002,DS01,cerro_azul,CAMPAIGN_02,9.601648688,10.601648688,1.000000000,2.651671029
CA-C02-002-D0002,CA-C02-002,DS01,cerro_azul,CAMPAIGN_02,34.601648688,35.601648688,1.000000000,2.678665026
CA-C02-002-D0003,CA-C02-002,DS01,cerro_azul,CAMPAIGN_02,59.601648688,60.601648688,1.000000000,2.647593852
CA-C02-002-D0004,CA-C02-002,DS01,cerro_azul,CAMPAIGN_02,84.601648688,85.601648688,1.000000000,2.648591037
CA-C02-002-D0005,CA-C02-002,DS01,cerro_azul,CAMPAIGN_02,109.601648688,110.601648688,1.000000000,2.655500251
CA-C02-002-D0006,CA-C02-002,DS01,cerro_azul,CAMPAIGN_02,134.601648688,135.601648688,1.000000000,2.582129057
CA-C02-002-D0007,CA-C02-002,DS01,cerro_azul,CAMPAIGN_02,159.601648688,160.601648688,1.000000000,2.614858564
CA-C02-002-D0008,CA-C02-002,DS01,cerro_azul,CAMPAIGN_02,184.601648688,185.601648688,1.000000000,2.571348278
CA-C02-002-D0009,CA-C02-002,DS01,cerro_azul,CAMPAIGN_02,209.601648688,210.601648688,1.000000000,2.613057714
CA-C02-003-D0001,CA-C02-003,DS01,cerro_azul,CAMPAIGN_02,21.915486547,22.915486547,1.000000000,2.690908531
CA-C02-003-D0002,CA-C02-003,DS01,cerro_azul,CAMPAIGN_02,46.915486547,47.915486547,1.000000000,2.625689330
CA-C02-003-D0003,CA-C02-003,DS01,cerro_azul,CAMPAIGN_02,71.915486547,72.915486547,1.000000000,2.665305555
CA-C02-003-D0004,CA-C02-003,DS01,cerro_azul,CAMPAIGN_02,96.915486547,97.915486547,1.000000000,2.619310801
CA-C02-003-D0005,CA-C02-003,DS01,cerro_azul,CAMPAIGN_02,121.915486547,122.915486547,1.000000000,2.655630280
CA-C02-003-D0006,CA-C02-003,DS01,cerro_azul,CAMPAIGN_02,146.915486547,147.915486547,1.000000000,2.636348176
CA-C02-003-D0007,CA-C02-003,DS01,cerro_azul,CAMPAIGN_02,171.915486547,172.915486547,1.000000000,2.626145559
CA-C02-003-D0008,CA-C02-003,DS01,cerro_azul,CAMPAIGN_02,196.915486547,197.915486547,1.000000000,2.663438882
CA-C02-003-D0009,CA-C02-003,DS01,cerro_azul,CAMPAIGN_02,221.915486547,222.915486547,1.000000000,2.632904196
CA-C02-004-D0001,CA-C02-004,DS01,cerro_azul,CAMPAIGN_02,13.603952975,14.603952975,1.000000000,2.693739928
CA-C02-004-D0002,CA-C02-004,DS01,cerro_azul,CAMPAIGN_02,38.603952975,39.603952975,1.000000000,2.712474969
CA-C02-004-D0003,CA-C02-004,DS01,cerro_azul,CAMPAIGN_02,63.603952975,64.603952975,1.000000000,2.714617794
CA-C02-004-D0004,CA-C02-004,DS01,cerro_azul,CAMPAIGN_02,88.603952975,89.603952975,1.000000000,2.724414984
CA-C02-004-D0005,CA-C02-004,DS01,cerro_azul,CAMPAIGN_02,113.603952975,114.603952975,1.000000000,2.687772948
CA-C02-004-D0006,CA-C02-004,DS01,cerro_azul,CAMPAIGN_02,138.603952975,139.603952975,1.000000000,2.647081838
CA-C02-004-D0007,CA-C02-004,DS01,cerro_azul,CAMPAIGN_02,163.603952975,164.603952975,1.000000000,2.613402751
CA-C02-004-D0008,CA-C02-004,DS01,cerro_azul,CAMPAIGN_02,188.603952975,189.603952975,1.000000000,2.615812160
CA-C02-004-D0009,CA-C02-004,DS01,cerro_azul,CAMPAIGN_02,213.603952975,214.603952975,1.000000000,2.646172614
CA-C02-004-D0010,CA-C02-004,DS01,cerro_azul,CAMPAIGN_02,238.603952975,239.603952975,1.000000000,2.626241575
CA-C02-004-D0011,CA-C02-004,DS01,cerro_azul,CAMPAIGN_02,263.603952975,264.603952975,1.000000000,2.626452723
CA-C02-004-D0012,CA-C02-004,DS01,cerro_azul,CAMPAIGN_02,288.603952975,289.603952975,1.000000000,2.636593262
CA-C02-005-D0001,CA-C02-005,DS01,cerro_azul,CAMPAIGN_02,23.951911995,24.951911995,1.000000000,2.652582238
CA-C02-005-D0002,CA-C02-005,DS01,cerro_azul,CAMPAIGN_02,48.951911995,49.951911995,1.000000000,2.644861514
CA-C02-005-D0003,CA-C02-005,DS01,cerro_azul,CAMPAIGN_02,73.951911995,74.951911995,1.000000000,2.677822432
CA-C02-005-D0004,CA-C02-005,DS01,cerro_azul,CAMPAIGN_02,98.951911995,99.951911995,1.000000000,2.661764174
CA-C02-005-D0005,CA-C02-005,DS01,cerro_azul,CAMPAIGN_02,123.951911995,124.951911995,1.000000000,2.638208117
CA-C02-005-D0006,CA-C02-005,DS01,cerro_azul,CAMPAIGN_02,148.951911995,149.951911995,1.000000000,2.599685872
CA-C02-005-D0007,CA-C02-005,DS01,cerro_azul,CAMPAIGN_02,173.951911995,174.951911995,1.000000000,2.669137036
CA-C02-006-D0001,CA-C02-006,DS01,cerro_azul,CAMPAIGN_02,10.350099769,11.350099769,1.000000000,2.664284027
CA-C02-006-D0002,CA-C02-006,DS01,cerro_azul,CAMPAIGN_02,35.350099769,36.350099769,1.000000000,2.671153044
CA-C02-006-D0003,CA-C02-006,DS01,cerro_azul,CAMPAIGN_02,60.350099769,61.350099769,1.000000000,2.666608038
CA-C02-006-D0004,CA-C02-006,DS01,cerro_azul,CAMPAIGN_02,85.350099769,86.350099769,1.000000000,2.667564347
CA-C02-006-D0005,CA-C02-006,DS01,cerro_azul,CAMPAIGN_02,110.350099769,111.350099769,1.000000000,2.664534188
CA-C02-006-D0006,CA-C02-006,DS01,cerro_azul,CAMPAIGN_02,135.350099769,136.350099769,1.000000000,2.601504247
CA-C02-006-D0007,CA-C02-006,DS01,cerro_azul,CAMPAIGN_02,160.350099769,161.350099769,1.000000000,2.581255128
CA-C02-006-D0008,CA-C02-006,DS01,cerro_azul,CAMPAIGN_02,185.350099769,186.350099769,1.000000000,2.640382141
CA-C02-007-D0001,CA-C02-007,DS01,cerro_azul,CAMPAIGN_02,6.810410455,7.810410455,1.000000000,2.273297486
CA-C02-007-D0002,CA-C02-007,DS01,cerro_azul,CAMPAIGN_02,31.810410455,32.810410455,1.000000000,2.643954987
CA-C02-007-D0003,CA-C02-007,DS01,cerro_azul,CAMPAIGN_02,56.810410455,57.810410455,1.000000000,2.630204451
CA-C02-007-D0004,CA-C02-007,DS01,cerro_azul,CAMPAIGN_02,81.810410455,82.810410455,1.000000000,2.655188072
CA-C02-007-D0005,CA-C02-007,DS01,cerro_azul,CAMPAIGN_02,106.810410455,107.810410455,1.000000000,2.644680232
CA-C02-007-D0006,CA-C02-007,DS01,cerro_azul,CAMPAIGN_02,131.810410455,132.810410455,1.000000000,2.662333350
CA-C02-007-D0007,CA-C02-007,DS01,cerro_azul,CAMPAIGN_02,156.810410455,157.810410455,1.000000000,2.620125667
CA-C02-007-D0008,CA-C02-007,DS01,cerro_azul,CAMPAIGN_02,181.810410455,182.810410455,1.000000000,2.701026119
CA-C02-007-D0009,CA-C02-007,DS01,cerro_azul,CAMPAIGN_02,206.810410455,207.810410455,1.000000000,2.667944583
CA-C02-008-D0001,CA-C02-008,DS01,cerro_azul,CAMPAIGN_02,14.981601188,15.981601188,1.000000000,2.679512696
CA-C02-008-D0002,CA-C02-008,DS01,cerro_azul,CAMPAIGN_02,39.981601188,40.981601188,1.000000000,2.704485156
CA-C02-008-D0003,CA-C02-008,DS01,cerro_azul,CAMPAIGN_02,64.981601188,65.981601188,1.000000000,2.740401993
