hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,lith_code
CA-C02-004,DS01,cerro_azul,CAMPAIGN_02,125.000000000,294.108367631,169.108367631,POR
CA-C02-005,DS01,cerro_azul,CAMPAIGN_02,0.000000000,6.000000000,6.000000000,REG
CA-C02-005,DS01,cerro_azul,CAMPAIGN_02,6.000000000,142.000000000,136.000000000,POR
CA-C02-005,DS01,cerro_azul,CAMPAIGN_02,142.000000000,161.000000000,19.000000000,BRX
CA-C02-005,DS01,cerro_azul,CAMPAIGN_02,161.000000000,180.000000000,19.000000000,POR
CA-C02-006,DS01,cerro_azul,CAMPAIGN_02,0.000000000,6.000000000,6.000000000,REG
CA-C02-006,DS01,cerro_azul,CAMPAIGN_02,6.000000000,111.000000000,105.000000000,POR
CA-C02-006,DS01,cerro_azul,CAMPAIGN_02,111.000000000,191.360703289,80.360703289,BRX
CA-C02-007,DS01,cerro_azul,CAMPAIGN_02,0.000000000,1.000000000,1.000000000,REG
CA-C02-007,DS01,cerro_azul,CAMPAIGN_02,1.000000000,2.000000000,1.000000000,AIR
CA-C02-007,DS01,cerro_azul,CAMPAIGN_02,2.000000000,8.000000000,6.000000000,REG
CA-C02-007,DS01,cerro_azul,CAMPAIGN_02,8.000000000,25.000000000,17.000000000,DIO
CA-C02-007,DS01,cerro_azul,CAMPAIGN_02,25.000000000,227.548160482,202.548160482,POR
CA-C02-008,DS01,cerro_azul,CAMPAIGN_02,0.000000000,4.000000000,4.000000000,REG
CA-C02-008,DS01,cerro_azul,CAMPAIGN_02,4.000000000,7.000000000,3.000000000,DIO
CA-C02-008,DS01,cerro_azul,CAMPAIGN_02,7.000000000,13.000000000,6.000000000,REG
CA-C02-008,DS01,cerro_azul,CAMPAIGN_02,13.000000000,113.000000000,100.000000000,DIO
CA-C02-008,DS01,cerro_azul,CAMPAIGN_02,113.000000000,280.929579961,167.929579961,POR
CA-C02-009,DS01,cerro_azul,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CA-C02-009,DS01,cerro_azul,CAMPAIGN_02,7.000000000,30.000000000,23.000000000,DIO
CA-C02-009,DS01,cerro_azul,CAMPAIGN_02,30.000000000,185.625590127,155.625590127,POR
CA-C02-010,DS01,cerro_azul,CAMPAIGN_02,0.000000000,9.000000000,9.000000000,REG
CA-C02-010,DS01,cerro_azul,CAMPAIGN_02,9.000000000,26.000000000,17.000000000,DIO
CA-C02-010,DS01,cerro_azul,CAMPAIGN_02,26.000000000,198.134634094,172.134634094,POR
CA-C02-011,DS01,cerro_azul,CAMPAIGN_02,0.000000000,4.000000000,4.000000000,REG
CA-C02-011,DS01,cerro_azul,CAMPAIGN_02,4.000000000,67.000000000,63.000000000,DIO
CA-C02-011,DS01,cerro_azul,CAMPAIGN_02,67.000000000,230.543466170,163.543466170,POR
CA-C02-012,DS01,cerro_azul,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CA-C02-012,DS01,cerro_azul,CAMPAIGN_02,7.000000000,150.000000000,143.000000000,DIO
CA-C02-012,DS01,cerro_azul,CAMPAIGN_02,150.000000000,283.999103482,133.999103482,POR
CA-C03-001,DS01,cerro_azul,CAMPAIGN_03,0.000000000,7.000000000,7.000000000,REG
CA-C03-001,DS01,cerro_azul,CAMPAIGN_03,7.000000000,110.000000000,103.000000000,POR
CA-C03-001,DS01,cerro_azul,CAMPAIGN_03,110.000000000,186.897197576,76.897197576,BRX
CA-C03-002,DS01,cerro_azul,CAMPAIGN_03,0.000000000,7.000000000,7.000000000,REG
CA-C03-002,DS01,cerro_azul,CAMPAIGN_03,7.000000000,21.000000000,14.000000000,DIO
CA-C03-002,DS01,cerro_azul,CAMPAIGN_03,21.000000000,155.000000000,134.000000000,POR
CA-C03-002,DS01,cerro_azul,CAMPAIGN_03,155.000000000,234.060292374,79.060292374,BRX
CA-C03-003,DS01,cerro_azul,CAMPAIGN_03,0.000000000,2.000000000,2.000000000,AIR
CA-C03-003,DS01,cerro_azul,CAMPAIGN_03,2.000000000,9.000000000,7.000000000,REG
CA-C03-003,DS01,cerro_azul,CAMPAIGN_03,9.000000000,29.000000000,20.000000000,DIO
CA-C03-003,DS01,cerro_azul,CAMPAIGN_03,29.000000000,160.000000000,131.000000000,POR
CA-C03-003,DS01,cerro_azul,CAMPAIGN_03,160.000000000,237.968593630,77.968593630,BRX
CA-C03-004,DS01,cerro_azul,CAMPAIGN_03,0.000000000,7.000000000,7.000000000,REG
CA-C03-004,DS01,cerro_azul,CAMPAIGN_03,7.000000000,119.000000000,112.000000000,POR
CA-C03-004,DS01,cerro_azul,CAMPAIGN_03,119.000000000,196.295536206,77.295536206,BRX
